TIME(MS);MAG_X;MIN;MAX;AVG;VAR;ECART;MAG_Y;MIN;MAX;AVG;VAR;ECART;MAG_Z;MIN;MAX;AVG;VAR;ECART
310003;-629;-638;-626;-630,72;7,64;2,764054992;1383;1374;1389;1383;9,94;3,152776554;713;697;744;714,41;98,33;9,916148446
316903;-628;-634;-622;-629,72;6,05;2,459674775;1384;1375;1394;1383,13;12,55;3,542597917;714;699;743;714,16;69,48;8,335466394
323804;-639;-639;-626;-633,13;7,58;2,75317998;1383;1380;1392;1387;6,75;2,598076211;726;682;738;713,42;90,81;9,529428105
330702;-635;-640;-626;-632,05;7,7;2,774887385;1386;1379;1392;1383,98;7,23;2,688865932;714;698;735;714,97;74,56;8,634813258
337603;-634;-639;-626;-632,77;7,74;2,782085549;1384;1375;1392;1382,83;8,05;2,837252192;707;701;734;716,16;41,26;6,423394741
344504;-631;-641;-625;-632,3;9,61;3,1;1382;1374;1389;1382,19;13,62;3,690528417;709;693;738;715,61;71,27;8,442156123
351403;-631;-639;-626;-632,63;6,83;2,613426869;1382;1377;1389;1383,55;8,5;2,915475947;724;700;734;714,52;52,31;7,232565243
358303;-631;-641;-625;-632,72;10,17;3,189043744;1385;1378;1390;1383,52;6,12;2,473863375;710;693;736;715,42;58,06;7,619711281
365203;-636;-639;-627;-632,28;6,73;2,594224354;1387;1379;1389;1383,31;7,59;2,754995463;715;702;735;716,19;56,34;7,505997602
372103;-633;-638;-624;-631,03;9,37;3,061045573;1389;1380;1390;1385,61;6,21;2,491987159;705;701;730;715,64;60,04;7,748548251
379002;-633;-640;-627;-632,38;9,02;3,003331484;1389;1380;1392;1385,89;8,13;2,851315486;723;701;730;714,23;57,02;7,551158851
385902;-628;-637;-622;-630,42;8,43;2,903446228;1387;1375;1393;1385,91;9,96;3,155946768;723;696;733;712,89;63,88;7,992496481
392802;-634;-639;-627;-632,14;9,84;3,136877428;1388;1378;1392;1385,61;10,27;3,204684072;713;695;730;712,69;62,96;7,93473377
399704;-630;-642;-626;-632,17;8,58;2,929163703;1386;1380;1395;1386,73;9,54;3,088689042;704;696;727;714,45;51,09;7,147726911
406602;-631;-638;-627;-632,69;5,46;2,336664289;1388;1379;1397;1385,95;9,36;3,059411708;716;698;733;712,67;50,47;7,104224096
413503;-637;-643;-628;-632,7;10,65;3,263433774;1383;1378;1391;1385,48;8,84;2,973213749;721;696;729;711,59;50,27;7,09013399
420404;-634;-642;-629;-634,25;10,59;3,254228019;1385;1379;1391;1384,97;9,62;3,101612484;703;693;745;712,16;96,38;9,817331613
427303;-623;-639;-623;-629,73;8,57;2,927456234;1392;1381;1395;1387,48;11,37;3,37194306;701;696;737;713,92;79,2;8,899438185
434203;-632;-636;-623;-629,38;8,05;2,837252192;1385;1376;1392;1385,39;9,02;3,003331484;712;691;730;707,38;67,36;8,207313811
441103;-634;-636;-623;-630,7;5,86;2,420743687;1383;1377;1394;1383,98;9,2;3,033150178;714;696;732;712,19;61,43;7,837729263
448004;-627;-635;-622;-629,44;5,43;2,33023604;1384;1377;1392;1385,39;8,18;2,860069929;704;687;731;708,73;81,51;9,028288874
454903;-632;-636;-623;-630,47;8,09;2,844292531;1386;1376;1392;1384,83;9,74;3,120897307;697;685;727;707,22;82,64;9,090654542
461802;-634;-636;-623;-629,98;7,52;2,74226184;1385;1376;1389;1383,27;8,85;2,974894956;715;689;727;708,38;67,61;8,222530024
468704;-629;-636;-624;-629,27;6,98;2,641968963;1389;1379;1392;1384,91;10,8;3,286335345;717;695;727;709,27;52,41;7,239475119
475602;-626;-635;-625;-629,39;6,71;2,590366769;1382;1380;1391;1384,95;8,79;2,964793416;724;687;725;707,59;72,08;8,489994111
482503;-631;-639;-626;-631,42;6,99;2,643860813;1379;1374;1392;1381,63;9,77;3,125699922;719;689;732;711,39;70,49;8,395832299
489403;-633;-638;-623;-630,77;8,46;2,908607914;1378;1374;1389;1382,13;10,17;3,189043744;706;695;727;711,17;38,64;6,216108107
496303;-631;-638;-622;-631,22;10,14;3,184336666;1385;1377;1388;1381,58;8,12;2,84956137;713;690;729;709,33;57,44;7,578918129
503203;-628;-637;-627;-631,52;7,03;2,651414717;1381;1374;1390;1382,39;9,05;3,008321791;707;689;723;708,17;48,33;6,951978136
510103;-629;-637;-624;-629,5;6,5;2,549509757;1386;1375;1387;1381,05;6,89;2,62488095;694;688;723;707,94;66,53;8,156592426
517004;-630;-636;-626;-630,39;4,46;2,111871208;1378;1371;1386;1379,73;9,26;3,043024811;713;688;721;705,94;63,53;7,97057087
523904;-629;-638;-624;-630,47;6,72;2,592296279;1385;1373;1388;1380,95;14,83;3,850973903;710;686;728;709,69;66,53;8,156592426
530803;-629;-636;-625;-630,55;8,4;2,898275349;1377;1377;1389;1382,25;9,19;3,031501278;706;690;731;712,19;56,06;7,487322619
537703;-626;-635;-622;-628,38;9,23;3,038091506;1383;1374;1391;1383,33;8,44;2,905167809;707;688;726;710;71,19;8,437416666
544604;-629;-636;-620;-628,25;9,03;3,00499584;1388;1379;1392;1385,17;8,17;2,858321186;723;697;733;712,56;66,03;8,125884567
551503;-633;-635;-623;-629,31;7,06;2,657066051;1382;1378;1391;1383,95;8,29;2,87923601;721;696;728;712,44;56,9;7,543208866
558403;-631;-637;-623;-630,06;8,37;2,893095228;1381;1377;1388;1382,86;6,5;2,549509757;711;682;731;710,19;93,9;9,690201236
565304;-621;-633;-621;-627,97;7,72;2,778488798;1381;1375;1388;1382,16;7,51;2,740437921;704;689;729;709,44;77,18;8,785214852
572204;-628;-634;-620;-627,8;7,82;2,796426291;1380;1377;1395;1384,31;12,56;3,544009029;712;692;736;712,66;84,57;9,196194865
579103;-633;-637;-624;-628,61;5,86;2,420743687;1387;1377;1389;1383,08;8,45;2,906888371;724;686;726;708,59;72,58;8,519389649
586003;-628;-638;-623;-629,2;7,79;2,791057147;1384;1377;1391;1383,36;6,57;2,563201124;708;688;728;707,33;66,06;8,12773031
592904;-630;-633;-620;-627,58;7,99;2,826658805;1384;1376;1391;1384,14;9,9;3,146426545;699;688;731;708,19;64,18;8,011242101
599803;-629;-636;-621;-630,39;8,52;2,918903904;1378;1373;1389;1383;8,94;2,989983278;713;688;726;708,75;70,5;8,396427812
606703;-627;-635;-624;-630,05;6,92;2,630589288;1389;1382;1393;1387,44;8,5;2,915475947;709;681;731;707,38;106,86;10,33731106
613604;-628;-634;-623;-629,31;6,59;2,567099531;1389;1381;1394;1387,36;8,45;2,906888371;709;691;725;706,5;71,12;8,433267457
620504;-633;-635;-625;-629,77;7,02;2,64952826;1382;1378;1391;1384,95;8,89;2,981610303;692;691;729;705,11;57,66;7,593418203
627403;-632;-636;-626;-630,81;6,59;2,567099531;1381;1379;1395;1385,88;11,92;3,4525353;699;686;722;703,48;72,12;8,492349498
634303;-630;-638;-623;-629,31;9,31;3,05122926;1381;1379;1392;1385,36;8,01;2,83019434;705;692;723;704,2;57,35;7,572978278
641203;-626;-636;-621;-628,66;9,32;3,052867504;1389;1379;1391;1384,28;6,86;2,619160171;720;685;720;702,58;58,96;7,678541528
648103;-628;-635;-624;-629,31;7,03;2,651414717;1390;1376;1391;1384,59;11,83;3,439476704;690;679;727;703,09;77,9;8,826097665
655002;-630;-635;-624;-629,08;5,32;2,306512519;1383;1380;1393;1385,45;9,94;3,152776554;691;691;724;707,86;51,68;7,188880302
661903;-631;-634;-620;-628,2;9,07;3,011644069;1387;1380;1395;1387,19;10;3,16227766;708;696;725;710,42;56,65;7,526619427
668804;-631;-639;-625;-631,05;10,79;3,284813541;1385;1380;1394;1386,77;7,71;2,776688675;717;698;744;715,48;80,91;8,99499861
675703;-633;-638;-625;-631,58;8,87;2,978254522;1382;1375;1390;1384,7;8,21;2,865309756;717;694;724;707,22;53,39;7,306846105
682603;-629;-636;-620;-629,48;11,44;3,382306905;1386;1377;1394;1385,94;13,87;3,72424489;712;687;727;709,8;59,29;7,7
689504;-632;-636;-624;-630,42;7,56;2,749545417;1381;1378;1391;1384,03;8,69;2,947880595;711;697;728;710,13;57,48;7,581556568
696403;-630;-635;-624;-629,42;6,9;2,626785107;1390;1379;1393;1385,36;10,32;3,212475681;716;693;731;712,86;68,56;8,280096618
703303;-628;-637;-624;-630,16;9,13;3,021588986;1392;1379;1392;1386;8;2,828427125;715;691;733;710,8;67,72;8,229216245
710203;-629;-637;-624;-629,88;7,23;2,688865932;1391;1377;1393;1384,33;11,85;3,442382896;728;695;737;718,11;58,97;7,679192666
717104;-630;-637;-623;-628,08;6,48;2,545584412;1391;1376;1391;1384,55;9,72;3,117691454;707;700;735;712,48;52,81;7,26704892
